rank,ticker,direction,score,first_support,first_resistance,pull_target,last_vacuum_target,close_under,support_count,resistance_count,vacuum_count,near_gap,pull_from_support,stretch_from_support,near_gap_pct,pull_from_support_pct,stretch_from_support_pct,read
1,LAES,BULLISH,82.0,2.5,3.0,3.0,3.5,2.23,2,2,2,0.5,0.5,1.0,0.2,0.2,0.4,"LAES is holding above support at 2.5 and pressing into the 3 ceiling; a push through opens room toward the 3 pull target, with continuation into 3.5 if it keeps running. A close back under 2.23 would weaken the setup."
2,PCG,BULLISH,79.0,16.5,17.5,20.0,21.0,16.5,2,2,4,1.0,3.5,4.5,0.06060606060606061,0.21212121212121213,0.2727272727272727,"PCG is holding above support at 16.5 and pressing into the 17.5 ceiling; a push through opens room toward the 20 pull target, with continuation into 21 if it keeps running. A close back under 16.5 would weaken the setup."
3,IOVA,BULLISH,78.0,4.5,5.5,5.5,7.5,4.5,2,2,4,1.0,1.0,3.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,"IOVA is holding above support at 4.5 and pressing into the 5.5 ceiling; a push through opens room toward the 5.5 pull target, with continuation into 7.5 if it keeps running. A close back under 4.5 would weaken the setup."
4,AXTI,BULLISH,76.0,43.0,49.5,50.0,60.0,43.0,2,2,4,6.5,7.0,17.0,0.1511627906976744,0.16279069767441862,0.3953488372093023,"AXTI is holding above support at 43 and pressing into the 49.5 ceiling; a push through opens room toward the 50 pull target, with continuation into 60 if it keeps running. A close back under 43 would weaken the setup."
5,HIVE,BULLISH,73.0,2.5,3.0,4.0,4.0,1.98,2,2,3,0.5,1.5,1.5,0.2,0.6,0.6,HIVE is holding above support at 2.5 and pressing into the 3 ceiling; a push through opens room toward the 4 pull target. A close back under 1.98 would weaken the setup.
6,NUAI,BULLISH,73.0,4.0,4.5,4.5,6.0,3.22,2,2,4,0.5,0.5,2.0,0.125,0.125,0.5,"NUAI is holding above support at 4 and pressing into the 4.5 ceiling; a push through opens room toward the 4.5 pull target, with continuation into 6 if it keeps running. A close back under 3.22 would weaken the setup."
7,CSCO,BULLISH,72.0,109.0,112.0,120.0,130.0,109.0,2,2,4,3.0,11.0,21.0,0.027522935779816515,0.10091743119266056,0.1926605504587156,"CSCO is holding above support at 109 and pressing into the 112 ceiling; a push through opens room toward the 120 pull target, with continuation into 130 if it keeps running. A close back under 109 would weaken the setup."
8,CLOV,BULLISH,71.0,4.0,5.0,5.0,6.5,4.0,2,2,4,1.0,1.0,2.5,0.25,0.25,0.625,"CLOV is holding above support at 4 and pressing into the 5 ceiling; a push through opens room toward the 5 pull target, with continuation into 6.5 if it keeps running. A close back under 4 would weaken the setup."
9,WULF,BULLISH,71.0,17.0,18.5,20.0,25.0,17.0,2,2,4,1.5,3.0,8.0,0.08823529411764706,0.17647058823529413,0.47058823529411764,"WULF is holding above support at 17 and pressing into the 18.5 ceiling; a push through opens room toward the 20 pull target, with continuation into 25 if it keeps running. A close back under 17 would weaken the setup."
10,HIMS,BULLISH,70.0,31.0,33.0,40.0,45.0,31.0,2,2,4,2.0,9.0,14.0,0.06451612903225806,0.2903225806451613,0.45161290322580644,"HIMS is holding above support at 31 and pressing into the 33 ceiling; a push through opens room toward the 40 pull target, with continuation into 45 if it keeps running. A close back under 31 would weaken the setup."
11,POET,BULLISH,70.0,5.0,7.5,8.0,10.0,3.56,2,2,4,2.5,3.0,5.0,0.5,0.6,1.0,"POET is holding above support at 5 and pressing into the 7.5 ceiling; a push through opens room toward the 8 pull target, with continuation into 10 if it keeps running. A close back under 3.56 would weaken the setup."
12,PYPL,BULLISH,70.0,54.0,57.0,60.0,70.0,54.0,2,2,4,3.0,6.0,16.0,0.05555555555555555,0.1111111111111111,0.2962962962962963,"PYPL is holding above support at 54 and pressing into the 57 ceiling; a push through opens room toward the 60 pull target, with continuation into 70 if it keeps running. A close back under 54 would weaken the setup."
13,SOFI,BULLISH,70.0,16.5,17.5,20.0,25.0,16.5,2,2,4,1.0,3.5,8.5,0.06060606060606061,0.21212121212121213,0.5151515151515151,"SOFI is holding above support at 16.5 and pressing into the 17.5 ceiling; a push through opens room toward the 20 pull target, with continuation into 25 if it keeps running. A close back under 16.5 would weaken the setup."
14,GILD,BULLISH,69.0,129.0,135.0,150.0,150.0,129.0,2,2,4,6.0,21.0,21.0,0.046511627906976744,0.16279069767441862,0.16279069767441862,GILD is holding above support at 129 and pressing into the 135 ceiling; a push through opens room toward the 150 pull target. A close back under 129 would weaken the setup.
15,HAL,BULLISH,68.0,34.0,35.5,36.0,50.0,34.0,2,2,4,1.5,2.0,16.0,0.04411764705882353,0.058823529411764705,0.47058823529411764,"HAL is holding above support at 34 and pressing into the 35.5 ceiling; a push through opens room toward the 36 pull target, with continuation into 50 if it keeps running. A close back under 34 would weaken the setup."
16,LUV,BULLISH,68.0,47.0,48.5,50.0,55.0,47.0,2,2,4,1.5,3.0,8.0,0.031914893617021274,0.06382978723404255,0.1702127659574468,"LUV is holding above support at 47 and pressing into the 48.5 ceiling; a push through opens room toward the 50 pull target, with continuation into 55 if it keeps running. A close back under 47 would weaken the setup."
17,JNJ,BULLISH,67.0,247.5,255.0,260.0,280.0,247.5,2,2,4,7.5,12.5,32.5,0.030303030303030304,0.050505050505050504,0.13131313131313133,"JNJ is holding above support at 247.5 and pressing into the 255 ceiling; a push through opens room toward the 260 pull target, with continuation into 280 if it keeps running. A close back under 247.5 would weaken the setup."
18,DE,BULLISH,66.0,587.5,600.0,600.0,700.0,587.5,2,2,4,12.5,12.5,112.5,0.02127659574468085,0.02127659574468085,0.19148936170212766,"DE is holding above support at 587.5 and pressing into the 600 ceiling; a push through opens room toward the 600 pull target, with continuation into 700 if it keeps running. A close back under 587.5 would weaken the setup."
19,GM,BULLISH,66.0,74.0,77.0,80.0,95.0,74.0,2,2,4,3.0,6.0,21.0,0.04054054054054054,0.08108108108108109,0.28378378378378377,"GM is holding above support at 74 and pressing into the 77 ceiling; a push through opens room toward the 80 pull target, with continuation into 95 if it keeps running. A close back under 74 would weaken the setup."
20,MNKD,BULLISH,66.0,3.0,5.0,5.0,6.0,3.0,2,2,4,2.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,"MNKD is holding above support at 3 and pressing into the 5 ceiling; a push through opens room toward the 5 pull target, with continuation into 6 if it keeps running. A close back under 3 would weaken the setup."
21,BULL,BULLISH,65.0,5.0,7.5,7.5,10.0,5.0,2,2,4,2.5,2.5,5.0,0.5,0.5,1.0,"BULL is holding above support at 5 and pressing into the 7.5 ceiling; a push through opens room toward the 7.5 pull target, with continuation into 10 if it keeps running. A close back under 5 would weaken the setup."
22,EOSE,BULLISH,65.0,4.0,4.5,5.0,6.0,3.32,2,2,4,0.5,1.0,2.0,0.125,0.25,0.5,"EOSE is holding above support at 4 and pressing into the 4.5 ceiling; a push through opens room toward the 5 pull target, with continuation into 6 if it keeps running. A close back under 3.32 would weaken the setup."
23,ICE,BULLISH,65.0,134.0,140.0,145.0,160.0,134.0,2,2,4,6.0,11.0,26.0,0.04477611940298507,0.08208955223880597,0.19402985074626866,"ICE is holding above support at 134 and pressing into the 140 ceiling; a push through opens room toward the 145 pull target, with continuation into 160 if it keeps running. A close back under 134 would weaken the setup."
24,SHOP,BULLISH,65.0,119.0,124.0,160.0,175.0,119.0,2,2,4,5.0,41.0,56.0,0.04201680672268908,0.3445378151260504,0.47058823529411764,"SHOP is holding above support at 119 and pressing into the 124 ceiling; a push through opens room toward the 160 pull target, with continuation into 175 if it keeps running. A close back under 119 would weaken the setup."
25,CRDO,BULLISH,64.0,175.0,202.5,250.0,300.0,175.0,2,2,4,27.5,75.0,125.0,0.15714285714285714,0.42857142857142855,0.7142857142857143,"CRDO is holding above support at 175 and pressing into the 202.5 ceiling; a push through opens room toward the 250 pull target, with continuation into 300 if it keeps running. A close back under 175 would weaken the setup."
26,DELL,BULLISH,64.0,385.0,397.5,400.0,450.0,385.0,2,2,4,12.5,15.0,65.0,0.032467532467532464,0.03896103896103896,0.16883116883116883,"DELL is holding above support at 385 and pressing into the 397.5 ceiling; a push through opens room toward the 400 pull target, with continuation into 450 if it keeps running. A close back under 385 would weaken the setup."
27,TWLO,BULLISH,64.0,190.0,207.5,220.0,240.0,190.0,2,2,4,17.5,30.0,50.0,0.09210526315789473,0.15789473684210525,0.2631578947368421,"TWLO is holding above support at 190 and pressing into the 207.5 ceiling; a push through opens room toward the 220 pull target, with continuation into 240 if it keeps running. A close back under 190 would weaken the setup."
28,ALAB,BULLISH,63.0,295.0,305.0,310.0,450.0,295.0,2,2,4,10.0,15.0,155.0,0.03389830508474576,0.05084745762711865,0.5254237288135594,"ALAB is holding above support at 295 and pressing into the 305 ceiling; a push through opens room toward the 310 pull target, with continuation into 450 if it keeps running. A close back under 295 would weaken the setup."
29,CNQ,BULLISH,63.0,37.5,44.5,50.0,60.0,37.5,2,2,4,7.0,12.5,22.5,0.18666666666666668,0.3333333333333333,0.6,"CNQ is holding above support at 37.5 and pressing into the 44.5 ceiling; a push through opens room toward the 50 pull target, with continuation into 60 if it keeps running. A close back under 37.5 would weaken the setup."
30,HTZ,BEARISH,63.0,1.5,2.0,1.5,1.5,nan,1,2,1,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,HTZ is capped at resistance around 2 and leaning on 1.5 support; a break of 1.5 opens downside toward the 1.5 pull target. Reclaiming 2.4 would invalidate the setup.
