Ticker,Strike,Jul 24 GEX,Jul 24 VEX,Jul 31 GEX,Jul 31 VEX,Aug 7 GEX,Aug 7 VEX,Aug 14 GEX,Aug 14 VEX,Aug 21 GEX,Aug 21 VEX,Total GEX,Total VEX
AAOI,300,0,0,,,,,,,,,0,0
AAOI,290,0,0,323,159,,,,,,,323,159
AAOI,280,0,0,-4,0,,,,,,,-4,0
AAOI,270,0,0,-30,-12,,,,,,,-30,-12
AAOI,265,0,0,,,,,,,,,0,0
AAOI,260,0,0,33,17,,,,,5795,3752,5828,3769
AAOI,255,0,0,51,17,,,,,,,51,17
AAOI,250,0,0,344,149,,,,,7279,4587,7623,4736
AAOI,245,0,0,24,8,,,,,,,24,8
AAOI,240,0,0,474,206,,,,,849,525,1323,731
AAOI,235,0,0,53,18,,,,,,,53,18
AAOI,230,0,0,1020,334,,,,,997,593,2017,927
AAOI,225,0,0,307,137,3004,1431,,,,,3310,1568
AAOI,220,0,0,353,167,124,56,,,11641,6510,12117,6733
AAOI,215,0,0,898,291,182,81,,,,,1080,372
AAOI,210,276,70,481,202,259,116,,,25641,13698,26656,14085
AAOI,205,0,0,331,120,197,86,810,392,,,1338,598
AAOI,200,9156,2278,5043,2294,980,423,1573,723,19772,9930,36525,15648
AAOI,197.5,0,0,548,184,,,,,,,548,184
AAOI,195,0,0,397,154,11,15,80,36,3417,1669,3905,1874
AAOI,192.5,0,0,81,37,,,,,,,81,37
AAOI,190,5609,1446,1236,457,54560,22054,947,417,30441,14296,92793,38670
AAOI,187.5,0,0,377,144,,,,,,,377,144
AAOI,185,0,0,-183,-53,460,176,142,60,2778,1260,3196,1443
AAOI,182.5,-9,-3,240,49,,,,,,,231,46
AAOI,180,2562,619,4751,1684,7787,2910,1006,413,6911,3014,23017,8640
AAOI,177.5,413,83,677,229,,,,,,,1090,312
AAOI,175,1140,266,304,179,5707,2013,2832,1093,576,282,10559,3832
AAOI,172.5,3325,809,1784,613,,,,,,,5109,1421
AAOI,170,4009,1040,10188,3292,3531,1195,-362,-132,27120,10829,44486,16224
AAOI,167.5,280,71,1893,622,,,,,,,2172,693
AAOI,165,1128,277,3634,1215,3299,1052,1161,405,23181,8791,32402,11739
AAOI,162.5,378,96,6159,1915,-384,-119,,,,,6153,1892
AAOI,160,2899,735,11318,3435,1201,363,17075,5637,21481,7679,53973,17849
AAOI,157.5,-495,-79,-385,-123,-136,-42,0,0,,,-1016,-244
AAOI,155,828,192,6795,2047,292,82,74,21,-1998,-689,5991,1654
AAOI,152.5,325,61,757,243,154,40,763,230,,,1999,573
AAOI,150,8523,1813,7552,2130,6252,1653,5694,1681,-6129,-2023,21892,5253
AAOI,149,688,146,1917,509,484,115,319,92,,,3408,862
AAOI,148,1746,310,1405,374,1632,408,404,114,,,5187,1206
AAOI,147,206,55,851,219,0,0,-2945,-821,,,-1888,-548
AAOI,146,558,104,1379,352,1345,327,248,68,,,3529,851
AAOI,145,15785,3048,-73,-68,-1374,-343,-592,-163,-11476,-3494,2268,-1021
AAOI,144,382,68,2994,728,86,20,166,45,,,3627,861
AAOI,143,-122,-32,976,233,968,227,254,67,,,2076,495
AAOI,142,2682,441,-154,-40,-1079,-254,172,44,,,1621,191
AAOI,141,4003,724,-1,0,-2006,-462,261,66,,,2256,329
AAOI,140,15118,2639,13841,3057,3163,673,-992,-252,5343,1532,36472,7648
AAOI,139,307,51,88,-7,363,75,1333,322,,,2092,440
AAOI,138,19814,3235,-1075,-221,1227,263,1355,325,,,21321,3602
AAOI,137,578,90,-490,-105,8199,1653,6766,1608,,,15052,3246
AAOI,136,2011,367,2190,475,1838,386,93,22,,,6131,1249
AAOI,135,7815,1498,11379,2309,8115,1652,633,140,-3748,-904,24194,4694
AAOI,134,1116,170,2760,575,-199,-35,3974,888,,,7650,1597
AAOI,133,6088,847,775,149,-509,-99,-1469,-329,,,4885,568
AAOI,132,755,148,1365,259,-5,-4,-481,-103,,,1633,300
AAOI,131,1395,201,7365,1395,-311,-59,191,40,,,8640,1577
AAOI,130,16394,2417,-3483,-664,39179,7142,-1798,-378,-59026,-13111,-8735,-4594
AAOI,129,-940,-116,2209,359,515,89,1545,306,,,3329,638
AAOI,128,2383,313,-1530,-259,199,32,682,131,,,1734,216
AAOI,127,1981,243,1665,276,1470,248,15056,2816,,,20172,3583
AAOI,126,-20331,-2474,6499,1076,422,69,-115,-23,,,-13526,-1353
AAOI,125,19502,2404,-29547,-4669,-6074,-988,658,114,935,210,-14525,-2929
AAOI,124,3856,453,-70,-25,752,115,1077,185,,,5615,728
AAOI,123,-712,-93,-165,-30,-1448,-216,400,66,,,-1926,-273
AAOI,122,6512,625,-1146,-159,-811,-118,-1013,-163,,,3542,184
AAOI,121,16682,1626,-2954,-406,-342,-50,1716,269,,,15102,1439
AAOI,120,26544,2779,-8662,-1198,-1503,-216,-15785,-2410,7269,1181,7863,136
AAOI,119,2219,225,3646,456,1228,158,199,29,,,7292,868
AAOI,118,-2139,-213,21655,2573,222,27,98,14,,,19835,2400
AAOI,117,3837,358,264,24,-699,-83,-103,-14,,,3298,285
AAOI,116,-5617,-497,-1623,-173,-4532,-525,1122,143,,,-10649,-1052
AAOI,115,28276,2527,14577,1423,-1744,-194,1882,231,-110250,-15132,-67260,-11145
AAOI,114,4863,420,-902,-90,2274,229,-1992,-235,,,4244,324
AAOI,113,-11451,-839,1131,99,-682,-65,-208,-23,-387,-48,-11598,-877
AAOI,112,-79913,-5558,186548,14879,1604,144,507,53,,,108745,9518
AAOI,111,1664,88,1557,118,566,48,-722,-72,96,11,3162,193
AAOI,110,-72057,-4372,-15559,-1100,-6247,-495,-8109,-751,17326,1827,-84645,-4890
AAOI,109,-2217,-117,-3969,-243,1251,91,698,61,,,-4237,-208
AAOI,108,131979,5769,158,8,2502,168,-640,-51,,,134000,5894
AAOI,107,4553,163,928,45,-115,-7,99,7,-669,-58,4795,151
AAOI,106,-6689,-191,-353,-14,-1037,-57,-106,-7,,,-8185,-269
AAOI,105,481,21,-30124,-992,-5515,-269,-650,-38,-3911,-277,-39718,-1556
AAOI,104,-4939,-67,153,4,-1358,-58,-2551,-140,,,-8694,-261
AAOI,103,-3959,-24,-1352,-25,1451,54,-1111,-54,91,6,-4879,-43
