date,time,symbol,strike,type,expiration,bid,ask,mid,last,volume,open_interest,iv,delta,gamma,theta,vega,status
7/15/26,11:06 AM,CRM,170.0,P,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/15/26,12:40 PM,SOFI,18.0,C,8/21/2026,0.85,0.89,0.87,0.88,1470,28463,0.6889,0.4041,0.12547,-0.0243,0.0172,FOUND
7/15/26,2:13 PM,UBER,80.0,C,8/21/2026,0.42,0.46,0.44,0.44,3146,24601,0.48,0.0864,0.01827,-0.0262,0.0276,FOUND
7/15/26,3:04 PM,WBD,29.0,C,8/21/2026,0.05,0.09,0.07,0.09,202,136355,0.3085,0.1241,0.08065,-0.0107,0.0138,FOUND
7/15/26,3:29 PM,XLE,60.0,C,8/21/2026,1.18,1.24,1.21,1.2,889,68342,0.2776,0.4171,0.09118,-0.0367,0.0593,FOUND
7/16/26,9:53 AM,SPY,755.0,C,7/16/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,11:46 AM,UNH,440.0,C,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,11:55 AM,C,140.0,C,8/21/2026,1.23,1.29,1.26,1.28,134,17035,0.2932,0.2334,0.03055,-0.0613,0.1064,FOUND
7/16/26,11:58 AM,TLT,85.0,C,8/21/2026,0.33,0.34,0.34,0.34,4477,64545,0.0981,0.2305,0.14608,-0.0114,0.068,FOUND
7/16/26,12:06 PM,HOOD,115.0,C,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,12:10 PM,KRE,75.0,C,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,12:50 PM,CIFR,18.0,C,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,12:58 PM,IBM,220.0,C,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,1:23 PM,AFRM,80.0,C,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/16/26,2:09 PM,AXTI,57.0,C,7/31/2026,1.85,2.4,2.12,2.14,180,4151,2.5579,0.2737,0.02603,-0.4919,0.0163,FOUND
7/16/26,3:00 PM,CRWV,100.0,C,8/21/2026,1.36,1.46,1.41,1.46,865,66142,1.0991,0.1438,0.01111,-0.0925,0.0404,FOUND
7/17/26,9:52 AM,VIX,20.0,C,7/22/2026,,,,,,,,,,,,API_ERROR
7/17/26,11:52 AM,GDX,79.0,C,8/21/2026,2.03,2.39,2.21,2.07,505,12946,0.4421,0.367,0.04297,-0.0633,0.0727,FOUND
7/17/26,12:11 PM,ZETA,25.0,C,9/18/2026,1.15,1.32,1.23,1.27,67,11571,0.8379,0.302,0.05567,-0.021,0.0276,FOUND
7/17/26,12:57 PM,NOK,12.0,C,8/21/2026,0.06,0.07,0.07,0.06,851,59904,0.7674,0.0861,0.09035,-0.0055,0.0038,FOUND
7/17/26,1:11 PM,WULF,19.0,C,8/21/2026,1.54,1.59,1.56,1.62,194,10117,1.1241,0.4719,0.07736,-0.0406,0.0185,FOUND
7/17/26,2:19 PM,IGV,100.0,C,8/21/2026,0.75,0.85,0.8,0.8,1278,25269,0.3384,0.1658,0.02916,-0.0432,0.0601,FOUND
7/17/26,2:38 PM,C,140.0,C,8/21/2026,1.23,1.29,1.26,1.28,134,17035,0.2932,0.2334,0.03055,-0.0613,0.1064,FOUND
7/17/26,3:08 PM,IONQ,35.0,P,7/17/2026,,,,,,,,,,,,NOT_FOUND
7/17/26,3:27 PM,FRMI,7.0,C,9/18/2026,1.55,1.65,1.6,1.55,212,9506,1.4223,0.6083,0.09493,-0.0149,0.0101,FOUND
7/20/26,9:53 AM,SPCX,150.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/20/26,9:56 AM,TSLA,387.5,C,7/20/2026,,,,,,,,,,,,NOT_FOUND
7/20/26,12:25 PM,COIN,170.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/20/26,12:55 PM,AMZN,250.0,C,7/20/2026,,,,,,,,,,,,NOT_FOUND
7/20/26,2:07 PM,AMC,2.0,C,8/21/2026,0.47,0.49,0.48,0.49,7913,54768,1.1366,0.7507,0.45914,-0.0046,0.0019,FOUND
7/20/26,3:57 PM,BABA,126.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/21/26,9:52 AM,MRVL,280.0,C,8/21/2026,1.25,1.34,1.29,1.31,433,15962,0.9399,0.0706,0.00286,-0.1262,0.0624,FOUND
7/21/26,9:56 AM,VIX,18.0,P,7/22/2026,,,,,,,,,,,,API_ERROR
7/21/26,11:22 AM,AMZN,250.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/21/26,12:56 PM,GOOGL,370.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/21/26,1:04 PM,MSTR,100.0,P,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/22/26,9:53 AM,MSFT,400.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/22/26,11:02 AM,AAOI,125.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/22/26,12:20 PM,COIN,180.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/23/26,10:58 AM,SKHY,180.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/23/26,11:18 AM,BMNR,17.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/23/26,11:32 AM,SQQQ,42.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/23/26,11:40 AM,BABA,120.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/23/26,12:48 PM,ASHR,34.0,C,7/31/2026,0.88,0.96,0.92,0.93,5,1681,0.2973,0.7569,0.27803,-0.0469,0.0118,FOUND
7/23/26,2:00 PM,CVX,205.0,C,8/21/2026,1.55,1.71,1.63,1.61,97,25400,0.3064,0.212,0.01839,-0.0834,0.1497,FOUND
7/23/26,3:03 PM,RIOT,25.0,C,8/21/2026,1.12,1.32,1.22,1.3,92,20724,1.063,0.3494,0.0625,-0.0441,0.0209,FOUND
7/24/26,9:53 AM,NVDA,210.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/24/26,1:55 PM,FRO,40.0,C,8/21/2026,1.5,1.6,1.55,1.55,435,8862,0.5401,0.4518,0.07302,-0.0413,0.0398,FOUND
7/24/26,2:04 PM,MARA,12.0,C,7/24/2026,,,,,,,,,,,,NOT_FOUND
7/24/26,3:59 PM,LYFT,15.0,P,7/31/2026,0.36,0.4,0.38,0.38,589,10123,0.6903,-0.6218,0.36266,-0.0463,0.006,FOUND
